date,ticker,signal,prob_up,prob_down,sentiment,rsi,rsi_state,trend_state,volatility_state,vix,risk_regime,macro_adj,close,n_news,n_sentiments
2025-05-22,SPY,SELL,0.4,0.6,neutral,60.57,neutral,uptrend,high,20.280000686645508,NEUTRAL,0.0,576.4815063476562,0,0
2025-05-22,IWM,SELL,0.4,0.6,neutral,54.4,neutral,uptrend,high,20.280000686645508,NEUTRAL,0.0,201.0335693359375,0,0
2025-05-22,GLD,SELL,0.4,0.6,neutral,53.03,neutral,uptrend,high,20.280000686645508,NEUTRAL,0.0,303.1099853515625,0,0
2025-05-23,SPY,SELL,0.4,0.6,neutral,57.31,neutral,uptrend,high,22.290000915527344,NEUTRAL,0.0,572.5465087890625,0,0
2025-05-23,IWM,SELL,0.4,0.6,neutral,53.26,neutral,uptrend,high,22.290000915527344,NEUTRAL,0.0,200.400390625,0,0
2025-05-23,GLD,SELL,0.4,0.6,neutral,58.03,neutral,uptrend,high,22.290000915527344,NEUTRAL,0.0,309.75,0,0
2025-05-26,SPY,SELL,0.4,0.6,neutral,57.31,neutral,uptrend,high,22.290000915527344,NEUTRAL,0.0,572.5465087890625,0,0
2025-05-26,IWM,SELL,0.4,0.6,neutral,53.26,neutral,uptrend,high,22.290000915527344,NEUTRAL,0.0,200.400390625,0,0
2025-05-26,GLD,SELL,0.4,0.6,neutral,58.03,neutral,uptrend,high,22.290000915527344,NEUTRAL,0.0,309.75,0,0
2025-05-27,SPY,SELL,0.4,0.6,neutral,63.69,neutral,uptrend,high,18.959999084472656,NEUTRAL,0.0,584.4501342773438,23,9
2025-05-27,IWM,SELL,0.4,0.6,neutral,60.42,neutral,uptrend,high,18.959999084472656,NEUTRAL,0.0,205.485595703125,7,5
2025-05-27,GLD,SELL,0.4,0.6,neutral,53.21,neutral,uptrend,high,18.959999084472656,NEUTRAL,0.0,304.5,7,7
2025-05-28,SPY,SELL,0.4,0.6,neutral,60.9,neutral,uptrend,high,19.309999465942383,NEUTRAL,0.0,581.06884765625,28,10
2025-05-28,IWM,BUY,0.65,0.35,bullish,56.45,neutral,uptrend,high,19.309999465942383,NEUTRAL,0.0,203.3189239501953,11,8
2025-05-28,GLD,SELL,0.4,0.6,neutral,52.59,neutral,uptrend,high,19.309999465942383,NEUTRAL,0.0,303.80999755859375,7,6
2025-05-29,SPY,SELL,0.15,0.85,bearish,62.11,neutral,uptrend,high,19.18000030517578,NEUTRAL,0.0,583.3626098632812,24,8
2025-05-29,IWM,SELL,0.4,0.6,neutral,57.29,neutral,uptrend,high,19.18000030517578,NEUTRAL,0.0,203.9224395751953,12,9
2025-05-29,GLD,SELL,0.4,0.6,neutral,54.09,neutral,uptrend,high,19.18000030517578,NEUTRAL,0.0,305.6099853515625,7,6
2025-05-30,SPY,SELL,0.15,0.85,bearish,61.53,neutral,uptrend,high,18.56999969482422,NEUTRAL,0.0,582.7100830078125,31,9
